,cod_tse,cod_ibge7,municipio,cod_uf,Nome_UF,UF,Nome_Município,uf_min
0,01120,1200013,ACRELÂNDIA,12,Acre,AC,Acrelândia,ac
1,01570,1200054,ASSIS BRASIL,12,Acre,AC,Assis Brasil,ac
2,01058,1200104,BRASILÉIA,12,Acre,AC,Brasiléia,ac
3,01007,1200138,BUJARI,12,Acre,AC,Bujari,ac
4,01015,1200179,CAPIXABA,12,Acre,AC,Capixaba,ac
5,01074,1200203,CRUZEIRO DO SUL,12,Acre,AC,Cruzeiro do Sul,ac
6,01112,1200252,EPITACIOLÂNDIA,12,Acre,AC,Epitaciolândia,ac
7,01139,1200302,FEIJÓ,12,Acre,AC,Feijó,ac
8,01104,1200328,JORDÃO,12,Acre,AC,Jordão,ac
9,01554,1200344,MANOEL URBANO,12,Acre,AC,Manoel Urbano,ac
10,01040,1200351,MARECHAL THAUMATURGO,12,Acre,AC,Marechal Thaumaturgo,ac
11,01090,1200336,MÂNCIO LIMA,12,Acre,AC,Mâncio Lima,ac
12,01511,1200385,PLÁCIDO DE CASTRO,12,Acre,AC,Plácido de Castro,ac
13,01023,1200807,PORTO ACRE,12,Acre,AC,Porto Acre,ac
14,01066,1200393,PORTO WALTER,12,Acre,AC,Porto Walter,ac
15,01392,1200401,RIO BRANCO,12,Acre,AC,Rio Branco,ac
16,01082,1200427,RODRIGUES ALVES,12,Acre,AC,Rodrigues Alves,ac
17,01031,1200435,SANTA ROSA DO PURUS,12,Acre,AC,Santa Rosa do Purus,ac
18,01457,1200500,SENA MADUREIRA,12,Acre,AC,Sena Madureira,ac
19,01538,1200450,SENADOR GUIOMARD,12,Acre,AC,Senador Guiomard,ac
20,01473,1200609,TARAUACÁ,12,Acre,AC,Tarauacá,ac
21,01490,1200708,XAPURI,12,Acre,AC,Xapuri,ac
22,27030,2700201,ANADIA,27,Alagoas,AL,Anadia,al
23,27057,2700300,ARAPIRACA,27,Alagoas,AL,Arapiraca,al
24,27073,2700409,ATALAIA,27,Alagoas,AL,Atalaia,al
25,27090,2700508,BARRA DE SANTO ANTÔNIO,27,Alagoas,AL,Barra de Santo Antônio,al
26,27111,2700607,BARRA DE SÃO MIGUEL,27,Alagoas,AL,Barra de São Miguel,al
27,27138,2700706,BATALHA,27,Alagoas,AL,Batalha,al
28,27170,2700904,BELO MONTE,27,Alagoas,AL,Belo Monte,al
29,27154,2700805,BELÉM,27,Alagoas,AL,Belém,al
30,27197,2701001,BOCA DA MATA,27,Alagoas,AL,Boca da Mata,al
31,27219,2701100,BRANQUINHA,27,Alagoas,AL,Branquinha,al
32,27235,2701209,CACIMBINHAS,27,Alagoas,AL,Cacimbinhas,al
33,27251,2701308,CAJUEIRO,27,Alagoas,AL,Cajueiro,al
34,27081,2701357,CAMPESTRE,27,Alagoas,AL,Campestre,al
35,27278,2701407,CAMPO ALEGRE,27,Alagoas,AL,Campo Alegre,al
36,27294,2701506,CAMPO GRANDE,27,Alagoas,AL,Campo Grande,al
37,27316,2701605,CANAPI,27,Alagoas,AL,Canapi,al
38,27332,2701704,CAPELA,27,Alagoas,AL,Capela,al
39,27359,2701803,CARNEIROS,27,Alagoas,AL,Carneiros,al
40,27375,2701902,CHÃ PRETA,27,Alagoas,AL,Chã Preta,al
41,27391,2702009,COITÉ DO NÓIA,27,Alagoas,AL,Coité do Nóia,al
42,27413,2702108,COLÔNIA LEOPOLDINA,27,Alagoas,AL,Colônia Leopoldina,al
43,27430,2702207,COQUEIRO SECO,27,Alagoas,AL,Coqueiro Seco,al
44,27456,2702306,CORURIPE,27,Alagoas,AL,Coruripe,al
45,28894,2702355,CRAÍBAS,27,Alagoas,AL,Craíbas,al
46,27472,2702405,DELMIRO GOUVEIA,27,Alagoas,AL,Delmiro Gouveia,al
47,27499,2702504,DOIS RIACHOS,27,Alagoas,AL,Dois Riachos,al
48,27049,2702553,ESTRELA DE ALAGOAS,27,Alagoas,AL,Estrela de Alagoas,al
49,27510,2702603,FEIRA GRANDE,27,Alagoas,AL,Feira Grande,al
50,27537,2702702,FELIZ DESERTO,27,Alagoas,AL,Feliz Deserto,al
51,27553,2702801,FLEXEIRAS,27,Alagoas,AL,Flexeiras,al
52,27570,2702900,GIRAU DO PONCIANO,27,Alagoas,AL,Girau do Ponciano,al
53,27596,2703007,IBATEGUARA,27,Alagoas,AL,Ibateguara,al
54,27618,2703106,IGACI,27,Alagoas,AL,Igaci,al
55,27634,2703205,IGREJA NOVA,27,Alagoas,AL,Igreja Nova,al
56,27650,2703304,INHAPI,27,Alagoas,AL,Inhapi,al
57,27677,2703403,JACARÉ DOS HOMENS,27,Alagoas,AL,Jacaré dos Homens,al
58,27693,2703502,JACUÍPE,27,Alagoas,AL,Jacuípe,al
59,27715,2703601,JAPARATINGA,27,Alagoas,AL,Japaratinga,al
60,27731,2703700,JARAMATAIA,27,Alagoas,AL,Jaramataia,al
61,27065,2703759,JEQUIÁ DA PRAIA,27,Alagoas,AL,Jequiá da Praia,al
62,27758,2703809,JOAQUIM GOMES,27,Alagoas,AL,Joaquim Gomes,al
63,27774,2703908,JUNDIÁ,27,Alagoas,AL,Jundiá,al
64,27790,2704005,JUNQUEIRO,27,Alagoas,AL,Junqueiro,al
65,27812,2704104,LAGOA DA CANOA,27,Alagoas,AL,Lagoa da Canoa,al
66,27839,2704203,LIMOEIRO DE ANADIA,27,Alagoas,AL,Limoeiro de Anadia,al
67,27855,2704302,MACEIÓ,27,Alagoas,AL,Maceió,al
68,27871,2704401,MAJOR ISIDORO,27,Alagoas,AL,Major Isidoro,al
69,27979,2704906,MAR VERMELHO,27,Alagoas,AL,Mar Vermelho,al
70,27898,2704500,MARAGOGI,27,Alagoas,AL,Maragogi,al
71,27910,2704609,MARAVILHA,27,Alagoas,AL,Maravilha,al
72,27936,2704708,MARECHAL DEODORO,27,Alagoas,AL,Marechal Deodoro,al
73,27952,2704807,MARIBONDO,27,Alagoas,AL,Maribondo,al
74,27995,2705002,MATA GRANDE,27,Alagoas,AL,Mata Grande,al
75,28010,2705101,MATRIZ DE CAMARAGIBE,27,Alagoas,AL,Matriz de Camaragibe,al
76,28037,2705200,MESSIAS,27,Alagoas,AL,Messias,al
77,28053,2705309,MINADOR DO NEGRÃO,27,Alagoas,AL,Minador do Negrão,al
78,28070,2705408,MONTEIRÓPOLIS,27,Alagoas,AL,Monteirópolis,al
79,28096,2705507,MURICI,27,Alagoas,AL,Murici,al
80,28118,2705606,NOVO LINO,27,Alagoas,AL,Novo Lino,al
81,28134,2705705,OLHO D&apos;ÁGUA DAS FLORES,27,Alagoas,AL,Olho d'Água das Flores,al
82,28150,2705804,OLHO D&apos;ÁGUA DO CASADO,27,Alagoas,AL,Olho d'Água do Casado,al
83,28177,2705903,OLHO D&apos;ÁGUA GRANDE,27,Alagoas,AL,Olho d'Água Grande,al
84,28193,2706000,OLIVENÇA,27,Alagoas,AL,Olivença,al
85,28215,2706109,OURO BRANCO,27,Alagoas,AL,Ouro Branco,al
86,28231,2706208,PALESTINA,27,Alagoas,AL,Palestina,al
87,28258,2706307,PALMEIRA DOS ÍNDIOS,27,Alagoas,AL,Palmeira dos Índios,al
88,27022,2706422,PARICONHA,27,Alagoas,AL,Pariconha,al
89,27006,2706448,PARIPUEIRA,27,Alagoas,AL,Paripueira,al
90,28290,2706505,PASSO DE CAMARAGIBE,27,Alagoas,AL,Passo de Camaragibe,al
91,28312,2706604,PAULO JACINTO,27,Alagoas,AL,Paulo Jacinto,al
92,28339,2706703,PENEDO,27,Alagoas,AL,Penedo,al
93,28355,2706802,PIAÇABUÇU,27,Alagoas,AL,Piaçabuçu,al
94,28371,2706901,PILAR,27,Alagoas,AL,Pilar,al
95,28398,2707008,PINDOBA,27,Alagoas,AL,Pindoba,al
96,28410,2707107,PIRANHAS,27,Alagoas,AL,Piranhas,al
97,28452,2707305,PORTO CALVO,27,Alagoas,AL,Porto Calvo,al
98,28479,2707404,PORTO DE PEDRAS,27,Alagoas,AL,Porto de Pedras,al
99,28495,2707503,PORTO REAL DO COLÉGIO,27,Alagoas,AL,Porto Real do Colégio,al
100,28436,2707206,POÇO DAS TRINCHEIRAS,27,Alagoas,AL,Poço das Trincheiras,al
101,28274,2706406,PÃO DE AÇÚCAR,27,Alagoas,AL,Pão de Açúcar,al
102,28517,2707602,QUEBRANGULO,27,Alagoas,AL,Quebrangulo,al
103,28533,2707701,RIO LARGO,27,Alagoas,AL,Rio Largo,al
104,28550,2707800,ROTEIRO,27,Alagoas,AL,Roteiro,al
105,28576,2707909,SANTA LUZIA DO NORTE,27,Alagoas,AL,Santa Luzia do Norte,al
106,28592,2708006,SANTANA DO IPANEMA,27,Alagoas,AL,Santana do Ipanema,al
107,28614,2708105,SANTANA DO MUNDAÚ,27,Alagoas,AL,Santana do Mundaú,al
108,28770,2708907,SATUBA,27,Alagoas,AL,Satuba,al
109,28916,2708956,SENADOR RUI PALMEIRA,27,Alagoas,AL,Senador Rui Palmeira,al
110,28630,2708204,SÃO BRÁS,27,Alagoas,AL,São Brás,al
111,28657,2708303,SÃO JOSÉ DA LAJE,27,Alagoas,AL,São José da Laje,al
112,28673,2708402,SÃO JOSÉ DA TAPERA,27,Alagoas,AL,São José da Tapera,al
113,28690,2708501,SÃO LUÍS DO QUITUNDE,27,Alagoas,AL,São Luís do Quitunde,al
114,28711,2708600,SÃO MIGUEL DOS CAMPOS,27,Alagoas,AL,São Miguel dos Campos,al
115,28738,2708709,SÃO MIGUEL DOS MILAGRES,27,Alagoas,AL,São Miguel dos Milagres,al
116,28754,2708808,SÃO SEBASTIÃO,27,Alagoas,AL,São Sebastião,al
117,28797,2709004,TANQUE D&apos;ARCA,27,Alagoas,AL,Tanque d'Arca,al
118,28819,2709103,TAQUARANA,27,Alagoas,AL,Taquarana,al
119,28932,2709152,TEOTÔNIO VILELA,27,Alagoas,AL,Teotônio Vilela,al
120,28835,2709202,TRAIPU,27,Alagoas,AL,Traipu,al
121,28851,2709301,UNIÃO DOS PALMARES,27,Alagoas,AL,União dos Palmares,al
122,28878,2709400,VIÇOSA,27,Alagoas,AL,Viçosa,al
123,27014,2700102,ÁGUA BRANCA,27,Alagoas,AL,Água Branca,al
124,06017,1600105,AMAPÁ,16,Amapá,AP,Amapá,ap
125,06033,1600204,CALÇOENE,16,Amapá,AP,Calçoene,ap
126,06068,1600212,CUTIAS,16,Amapá,AP,Cutias,ap
127,06114,1600238,FERREIRA GOMES,16,Amapá,AP,Ferreira Gomes,ap
128,06041,1600253,ITAUBAL,16,Amapá,AP,Itaubal,ap
129,06130,1600279,LARANJAL DO JARI,16,Amapá,AP,Laranjal do Jari,ap
130,06050,1600303,MACAPÁ,16,Amapá,AP,Macapá,ap
