codMunicipio,municipio,regiao
230010,ABAIARA,CARIRI
230015,ACARAPE,FORTALEZA
230020,ACARAU,SOBRAL
230030,ACOPIARA,CARIRI
230040,AIUABA,SERTÃO CENTRAL
230050,ALCANTARAS,SOBRAL
230060,ALTANEIRA,CARIRI
230070,ALTO SANTO,LITORAL LESTE/JAGUARIBE
230075,AMONTADA,FORTALEZA
230080,ANTONINA DO NORTE,CARIRI
230090,APUIARES,FORTALEZA
230100,AQUIRAZ,FORTALEZA
230110,ARACATI,LITORAL LESTE/JAGUARIBE
230120,ARACOIABA,FORTALEZA
230125,ARARENDA,SOBRAL
230130,ARARIPE,CARIRI
230140,ARATUBA,FORTALEZA
230150,ARNEIROZ,SERTÃO CENTRAL
230160,ASSARE,CARIRI
230170,AURORA,CARIRI
230180,BAIXIO,CARIRI
230185,BANABUIU,SERTÃO CENTRAL
230190,BARBALHA,CARIRI
230195,BARREIRA,FORTALEZA
230200,BARRO,CARIRI
230205,BARROQUINHA,SOBRAL
230210,BATURITE,FORTALEZA
230220,BEBERIBE,FORTALEZA
230230,BELA CRUZ,SOBRAL
230240,BOA VIAGEM,SERTÃO CENTRAL
230250,BREJO SANTO,CARIRI
230260,CAMOCIM,SOBRAL
230270,CAMPOS SALES,CARIRI
230280,CANINDE,SERTÃO CENTRAL
230290,CAPISTRANO,FORTALEZA
230300,CARIDADE,SERTÃO CENTRAL
230310,CARIRE,SOBRAL
230320,CARIRIACU,CARIRI
230330,CARIUS,CARIRI
230340,CARNAUBAL,SOBRAL
230350,CASCAVEL,FORTALEZA
230360,CATARINA,CARIRI
230365,CATUNDA,SOBRAL
230370,CAUCAIA,FORTALEZA
230380,CEDRO,CARIRI
230390,CHAVAL,SOBRAL
230393,CHORO,SERTÃO CENTRAL
230395,CHOROZINHO,FORTALEZA
230400,COREAU,SOBRAL
230410,CRATEUS,SOBRAL
230420,CRATO,CARIRI
230423,CROATA,SOBRAL
230425,CRUZ,SOBRAL
230426,DEPUTADO IRAPUAN PINHEIRO,CARIRI
230427,ERERE,LITORAL LESTE/JAGUARIBE
230428,EUSEBIO,FORTALEZA
230430,FARIAS BRITO,CARIRI
230435,FORQUILHA,SOBRAL
230440,FORTALEZA,FORTALEZA
230445,FORTIM,LITORAL LESTE/JAGUARIBE
230450,FRECHEIRINHA,SOBRAL
230460,GENERAL SAMPAIO,FORTALEZA
230465,GRACA,SOBRAL
230470,GRANJA,SOBRAL
230480,GRANJEIRO,CARIRI
230490,GROAIRAS,SOBRAL
230495,GUAIUBA,FORTALEZA
230500,GUARACIABA DO NORTE,SOBRAL
230510,GUARAMIRANGA,FORTALEZA
230520,HIDROLANDIA,SOBRAL
230523,HORIZONTE,FORTALEZA
230526,IBARETAMA,SERTÃO CENTRAL
230530,IBIAPINA,SOBRAL
230533,IBICUITINGA,SERTÃO CENTRAL
230535,ICAPUI,LITORAL LESTE/JAGUARIBE
230540,ICO,CARIRI
230550,IGUATU,CARIRI
230560,INDEPENDENCIA,SOBRAL
230565,IPAPORANGA,SOBRAL
230570,IPAUMIRIM,CARIRI
230580,IPU,SOBRAL
230590,IPUEIRAS,SOBRAL
230600,IRACEMA,LITORAL LESTE/JAGUARIBE
230610,IRAUCUBA,SOBRAL
230620,ITAICABA,LITORAL LESTE/JAGUARIBE
230625,ITAITINGA,FORTALEZA
230630,ITAPAJE,FORTALEZA
230640,ITAPIPOCA,FORTALEZA
230650,ITAPIUNA,FORTALEZA
230655,ITAREMA,SOBRAL
230660,ITATIRA,SERTÃO CENTRAL
230670,JAGUARETAMA,LITORAL LESTE/JAGUARIBE
230680,JAGUARIBARA,LITORAL LESTE/JAGUARIBE
230690,JAGUARIBE,LITORAL LESTE/JAGUARIBE
230700,JAGUARUANA,LITORAL LESTE/JAGUARIBE
230710,JARDIM,CARIRI
230720,JATI,CARIRI
230725,JIJOCA DE JERICOACOARA,SOBRAL
230730,JUAZEIRO DO NORTE,CARIRI
230740,JUCAS,CARIRI
230750,LAVRAS DA MANGABEIRA,CARIRI
230760,LIMOEIRO DO NORTE,LITORAL LESTE/JAGUARIBE
230763,MADALENA,SERTÃO CENTRAL
230765,MARACANAU,FORTALEZA
230770,MARANGUAPE,FORTALEZA
230780,MARCO,SOBRAL
230790,MARTINOPOLE,SOBRAL
230800,MASSAPE,SOBRAL
230810,MAURITI,CARIRI
230820,MERUOCA,SOBRAL
230830,MILAGRES,CARIRI
230835,MILHA,SERTÃO CENTRAL
230837,MIRAIMA,FORTALEZA
230840,MISSAO VELHA,CARIRI
230850,MOMBACA,CARIRI
230860,MONSENHOR TABOSA,SOBRAL
230870,MORADA NOVA,LITORAL LESTE/JAGUARIBE
230880,MORAUJO,SOBRAL
230890,MORRINHOS,SOBRAL
230900,MUCAMBO,SOBRAL
230910,MULUNGU,FORTALEZA
230920,NOVA OLINDA,CARIRI
230930,NOVA RUSSAS,SOBRAL
230940,NOVO ORIENTE,SOBRAL
230945,OCARA,FORTALEZA
230950,OROS,CARIRI
230960,PACAJUS,FORTALEZA
230970,PACATUBA,FORTALEZA
230980,PACOTI,FORTALEZA
230990,PACUJA,SOBRAL
231000,PALHANO,LITORAL LESTE/JAGUARIBE
231010,PALMACIA,FORTALEZA
231020,PARACURU,FORTALEZA
231025,PARAIPABA,FORTALEZA
231030,PARAMBU,SERTÃO CENTRAL
231040,PARAMOTI,SERTÃO CENTRAL
231050,PEDRA BRANCA,SERTÃO CENTRAL
231060,PENAFORTE,CARIRI
231070,PENTECOSTE,FORTALEZA
231080,PEREIRO,LITORAL LESTE/JAGUARIBE
231085,PINDORETAMA,FORTALEZA
231090,PIQUET CARNEIRO,CARIRI
231095,PIRES FERREIRA,SOBRAL
231100,PORANGA,SOBRAL
231110,PORTEIRAS,CARIRI
231120,POTENGI,CARIRI
231123,POTIRETAMA,LITORAL LESTE/JAGUARIBE
231126,QUITERIANOPOLIS,SOBRAL
231130,QUIXADA,SERTÃO CENTRAL
231135,QUIXELO,CARIRI
